"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3,1
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3,4
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3,9
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3,10
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4,11
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,12
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,13
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,17
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,4,25
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4,30
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4,31
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4,35
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4,39
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4,40
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,4,42
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4,43
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,46
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4,50
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4,53
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4,56
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,4,58
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,60
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4,62
6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4,63
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,64
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,70
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,71
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,72
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,73
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,5,75
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5,77
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,78
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,79
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,83
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,90
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,92
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,95
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,101
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,106
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,108
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,118
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,119
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,122
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,124
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,125
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,128
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,129
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,130
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,138
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,139
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,141
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,143
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,144
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,147
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,149
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,153
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,155
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,157
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,159
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,161
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,162
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,168
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,169
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,175
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,178
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,181
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,186
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,188
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,192
