"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","row_id"
5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3,2
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,4
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,5
10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3,6
8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,3,8
11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3,13
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3,14
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3,15
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4,25
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4,27
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,29
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4,30
5.9,0.21,0.28,4.6,0.053,40,199,0.9964,3.72,0.7,10,4,32
6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4,34
6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4,35
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4,37
7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,4,39
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,40
6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4,42
6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,4,44
6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4,49
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4,50
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4,55
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,57
8,0.55,0.17,8.2,0.04,13,60,0.9956,3.09,0.3,9.5,4,58
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4,59
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4,61
9.4,0.29,0.55,2.2,0.05,17,119,0.9962,3.12,0.69,10.3,4,62
6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4,65
6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4,66
6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4,70
6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4,71
6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4,73
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4,76
7,0.39,0.24,1,0.048,8,119,0.9923,3,0.31,10.1,4,77
6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4,86
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4,88
6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4,90
8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4,93
6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4,94
10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4,96
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4,101
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4,102
7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,4,104
6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4,108
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4,110
7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4,112
6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4,114
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,121
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,123
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,126
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4,127
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,128
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4,135
7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4,136
6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4,138
6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4,141
6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4,145
7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4,148
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4,158
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4,162
6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4,164
6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,4,166
6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4,167
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,168
5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4,170
5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,175
6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4,180
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4,181
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4,183
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,193
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,196
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,198
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,201
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,204
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,205
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,207
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,211
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,216
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,217
6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,219
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,221
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,225
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,227
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,233
7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,5,235
6.3,0.36,0.3,4.8,0.049,14,85,0.9932,3.28,0.39,10.6,5,237
9.8,0.42,0.48,9.85,0.034,5,110,0.9958,2.87,0.29,10,5,241
5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5,243
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,245
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5,248
6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5,249
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,252
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,253
7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5,254
